tag,placement
SKAP_18PI3301/Y/10sSAMP,WellD03
SKAP_18TI3302/Y/10sSAMP,WellD03
SKAP_18PI3303/Y/10sSAMP,WellD03
SKAP_18ESV3306/BCH/10sSamp,WellD03
SKAP_18ESV3307/BCH/10sSamp,WellD03
SKAP_18ESV3311/BCH/10sSAMP,WellD03
SKAP_18ESV3313/BCH/10sSamp,WellD03
SKAP_18ESV3314/BCH/10sSAMP,WellD03
SKAP_18ESV3315/BCH/10sSamp,WellD03
SKAP_18ESV3318/BCH/10sSamp,WellD03
SKAP_18ESV3319/BCH/10sSamp,WellD03
SKAP_18ESV3320/BCH/10sSamp,WellD03
SKAP_18PI3310/MeasA/10sSAMP,WellD03
SKAP_18PI3317/Y/10sSAMP,WellD03
SKAP_18PI3330/MeasA/10sSAMP,WellD03
SKAP_18SCSSV3305/BCH/10sSAMP,WellD03
SKAP_18TI3304/Y/10sSAMP,WellD03
SKAP_18TI3309/Y/10sSAMP,WellD03
SKAP_18TI3316/Y/10sSAMP,WellD03
SKAP_18TI3329/Y/10sSAMP,WellD03
SKAP_18HPB330/BCH/10sSAMP,WellD03
SKAP_18PI3201/Y/10sSAMP,WellD02
SKAP_18TI3202/Y/10sSAMP,WellD02
SKAP_18PI3203/Y/10sSAMP,WellD02
SKAP_18ESV3206/BCH/10sSamp,WellD02
SKAP_18ESV3207/BCH/10sSamp,WellD02
SKAP_18ESV3211/BCH/10sSAMP,WellD02
SKAP_18ESV3213/BCH/10sSamp,WellD02
SKAP_18ESV3214/BCH/10sSAMP,WellD02
SKAP_18ESV3215/BCH/10sSamp,WellD02
SKAP_18ESV3218/BCH/10sSamp,WellD02
SKAP_18ESV3219/BCH/10sSamp,WellD02
SKAP_18ESV3220/BCH/10sSamp,WellD02
SKAP_18PI3210/MeasA/10sSAMP,WellD02
SKAP_18PI3217/Y/10sSAMP,WellD02
SKAP_18PI3230/MeasA/10sSAMP,WellD02
SKAP_18SCSSV3205/BCH/10sSAMP,WellD02
SKAP_18TI3204/Y/10sSAMP,WellD02
SKAP_18TI3209/Y/10sSAMP,WellD02
SKAP_18TI3216/Y/10sSAMP,WellD02
SKAP_18TI3229/Y/10sSAMP,WellD02
SKAP_18HPB320/BCH/10sSAMP,WellD02
